pixel,F_AREA,code
701.5,701.2455166,370812001029
1729,1727.734715,370812001029
1307.25,1306.999941,370812001029
725.5,721.0757666,370812001029
2404.75,2405.029788,370812001029
2112.25,2114.236165,370812001029
5536,5536.313938,370812001029
1615,1615.019497,370812001029
724.25,724.9266976,370812001029
10875,10871.2271,370812001030
30074,30067.83801,370812001030
3856.5,3860.78322,370812001030
10208.5,10204.14458,370812001030
1984.25,1986.092191,370812001030
4983,4980.759818,370812001030
3635.5,3635.630187,370812002003
1528.5,1530.73101,370812002003
14792.25,14792.33461,370812002007
5564.5,5564.22146,370812002007
1797,1819.089347,370812002007
24923.5,24927.3307,370812002011
2194.5,2194.015226,370812002011
2526,2526.48323,370812002011
1018.5,1016.457476,370812002011
3763.5,3761.52475,370812002011
3963.75,3970.541338,370812002011
509.75,504.6139539,370812002011
358.25,353.2755459,370812002011
785.25,789.3800226,370812002011
1667.5,1666.862028,370812002011
2250.5,2249.917234,370812002011
25166.75,29876.98486,370812002011
4501.75,4501.901577,370812002011
26069.75,26066.90588,370812002011
679.25,681.007356,370812002011
898.5,895.9579855,370812002011
48331.75,52236.2883,370812002011
4561.5,4555.225851,370812002011
16035.25,16035.63427,370812002011
685,691.3909019,370812002011
3735,3733.443916,370812002011
5125.25,5125.958183,370812002011
2267.5,2268.661434,370812002011
184.25,183.3778205,370812002011
511.75,511.3514904,370812002011
288.25,290.3864234,370812002011
235.5,234.318231,370812002011
1774.75,1775.516715,370812002011
304.25,304.7678754,370812002011
260.75,260.9607462,370812002011
7058.75,7057.429717,370812002012
1071.75,1072.168525,370812002012
460.5,460.5133026,370812002012
2969.5,2963.569904,370812002012
772.5,773.0157601,370812002012
691.5,692.2190289,370812002012
7880.25,7880.177296,370812002012
2579,2578.652199,370812002012
2566.75,2567.226656,370812002012
12592,12590.67883,370812002012
2271.25,2272.69592,370812002012
3439.25,3468.995528,370812002012
2514.5,2520.899844,370812002012
2710,2709.811174,370812002012
8485.25,8484.407386,370812002012
2747.75,2748.606095,370812002012
281,281.6499931,370812002012
571,570.2554702,370812002012
989,988.5267826,370812002012
1496.5,1496.156414,370812002012
2264.75,2265.642733,370812002012
1151,1150.744249,370812002012
963.75,963.9200238,370812002013
1934.25,1936.424067,370812002013
1062.5,1062.640216,370812002013
3677.5,3682.573896,370812003007
10319.75,10316.72249,370812003007
3778.75,3779.600439,370812003007
102150.75,102155.9106,370812003007
7667.5,7667.679024,370812003007
31940,31941.93088,370812003007
73020.75,73009.8092,370812003008
697.25,699.342971,370812003008
75.75,75.25163267,370812003008
511.25,515.9766716,370812003008
1951.5,1951.202982,370812003008
2020.25,2026.241748,370812003008
981.75,981.976563,370812003008
150,147.6436624,370812003008
6129,6141.978832,370812003008
73046.75,73041.69248,370812003008
2550.75,2550.816586,370812003008
798.25,798.3274026,370812003008
269,269.2039937,370812003008
937.75,932.65728,370812003008
2167.5,2168.362018,370812003008
554.25,553.1563374,370812003008
449,451.209641,370812003008
1622.5,1614.370394,370812003008
984.75,983.9785408,370812003008
168.25,169.3553621,370812003008
143.75,144.3541139,370812003008
117.25,117.1586763,370812003008
113.75,114.5373886,370812003008
133.75,139.1578467,370812003008
107.25,106.7201316,370812003008
39763.25,39767.15865,370812003008
29402.75,29403.00854,370812003008
1094.75,1086.983311,370812003008
6041.75,6032.386938,370812003009
36718,36719.23769,370812003009
3423.75,3415.400582,370812003009
13653.25,13656.32026,370812003009
7121,7120.903536,370812003009
4940.25,4941.626634,370812003009
28298.75,28301.06841,370812003009
18684,18679.77478,370812003010
20486,20495.31067,370812003010
1199.5,1200.085809,370812003010
1251.75,1252.588129,370812003010
863.5,862.6618933,370812003010
617.5,622.8633324,370812003010
3960.5,3959.977797,370812003011
18988,18986.95745,370812003011
4911.25,4910.577107,370812003011
1478,1472.173155,370812003011
3641.75,3641.832068,370812003011
5279.25,5276.414375,370812003011
27529.5,27527.36346,370812003011
3043.5,3042.687704,370812003011
3631,3630.65993,370812003011
1885.5,1886.484261,370812003011
2901.25,2911.789074,370812003011
1638.25,1634.319821,370812003011
13231.75,13234.0106,370812003011
1373.75,1373.274017,370812003011
5371.25,5372.385181,370812003011
19751.75,19750.61309,370812003011
901,901.9610052,370812003011
